run_name,time,W,energy_usage,max_mem
model_epochs_0_frac_0.9_quantized,3.0994415283203125e-06,2.763,1.7127513885498045e-05,9740288,
model_epochs_0_frac_0.9_quantized,0.029369354248046875,2.763,0.08115608954429626,9740288,
model_epochs_0_frac_0.9_quantized,0.03948354721069336,2.763,0.10910160470008849,9740288,
model_epochs_0_frac_0.9_quantized,0.04964017868041992,2.763,0.13716437745094298,9740288,
model_epochs_0_frac_0.9_quantized,0.05974268913269043,2.763,0.1650776138305664,9740288,
model_epochs_0_frac_0.9_quantized,0.0698552131652832,2.763,0.19301851773262024,9740288,
model_epochs_0_frac_0.9_quantized,0.08004927635192871,2.763,0.22118471431732178,9740288,
model_epochs_0_frac_0.9_quantized,0.09015488624572754,2.763,0.24910651445388796,9740288,
model_epochs_0_frac_0.9_quantized,0.10028386116027832,2.763,0.27709287214279177,9740288,
model_epochs_0_frac_0.9_quantized,0.11066985130310059,2.763,0.3057893629074097,9740288,
model_epochs_0_frac_0.9_quantized,0.12077784538269043,2.763,0.33371775054931646,9740288,
model_epochs_0_frac_0.9_quantized,0.13088011741638184,2.763,0.3616303281784058,9740288,
model_epochs_0_frac_0.9_quantized,0.14116358757019043,2.763,0.39004355621337894,9740288,
model_epochs_0_frac_0.9_quantized,0.15127134323120117,2.763,0.4179712851047516,9740288,
model_epochs_0_frac_0.9_quantized,0.16137480735778809,2.763,0.4458871564865113,9740288,
model_epochs_0_frac_0.9_quantized,0.17233848571777344,2.763,0.4761797997951508,9740288,
model_epochs_0_frac_0.9_quantized,0.18244695663452148,2.763,0.5041095049381257,9740288,
model_epochs_0_frac_0.9_quantized,0.1925508975982666,2.763,0.5320266938209535,9740288,
model_epochs_0_frac_0.9_quantized,0.2026517391204834,2.763,0.5599353189468385,9740288,
model_epochs_0_frac_0.9_quantized,0.21275639533996582,2.763,0.5878544840812684,9740288,
model_epochs_0_frac_0.9_quantized,0.22285985946655273,2.763,0.615770355463028,9740288,
model_epochs_0_frac_0.9_quantized,0.23296093940734863,2.763,0.6436796393394472,9740288,
model_epochs_0_frac_0.9_quantized,0.24306845664978027,2.763,0.6716067094802858,9740288,
