run_name,time,W,energy_usage,max_mem
model_frac_0.15_static_quantized_int8,3.5762786865234375e-06,0.0,0.0,7000064,
model_frac_0.15_static_quantized_int8,0.0101165771484375,0.0,0.0,7000064,
model_frac_0.15_static_quantized_int8,0.020227909088134766,0.0,0.0,7000064,
model_frac_0.15_static_quantized_int8,0.03032970428466797,0.0,0.0,7000064,
model_frac_0.15_static_quantized_int8,0.040468454360961914,0.0,0.0,7000064,
model_frac_0.15_static_quantized_int8,0.051648616790771484,0.0,0.0,7000064,
model_frac_0.15_static_quantized_int8,0.06178450584411621,0.0,0.0,7000064,
model_frac_0.15_static_quantized_int8,0.07921051979064941,0.0,0.0,7266304,
model_frac_0.15_static_quantized_int8,0.0947272777557373,0.0,0.0,7266304,
model_frac_0.15_static_quantized_int8,0.10527706146240234,0.0,0.0,7266304,
model_frac_0.15_static_quantized_int8,0.12482786178588867,0.0,0.0,7524352,
model_frac_0.15_static_quantized_int8,0.1350269317626953,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.1451871395111084,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.15537428855895996,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.16570687294006348,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.17597413063049316,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.1861567497253418,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.19631719589233398,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.20647811889648438,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.2166450023651123,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.22677326202392578,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.23691868782043457,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.24708938598632812,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.2573075294494629,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.2675058841705322,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.27763986587524414,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.28818249702453613,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.2983565330505371,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.3085482120513916,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.3187136650085449,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.32889485359191895,0.0,0.0,7782400,
model_frac_0.15_static_quantized_int8,0.33902764320373535,0.0,0.0,7782400,
