run_name,time,W,energy_usage,max_mem
model_frac_0.840_static_quantized_int8_2,2.86102294921875e-06,0.0,0.0,1048576,
model_frac_0.840_static_quantized_int8,0.010130167007446289,0.0,0.0,1048576,
model_frac_0.840_static_quantized_int8,0.020245075225830078,0.0,0.0,1306624,
model_frac_0.840_static_quantized_int8,0.030338525772094727,0.0,0.0,1564672,
model_frac_0.840_static_quantized_int8,0.04387664794921875,0.0,0.0,1564672,
model_frac_0.840_static_quantized_int8,0.05618715286254883,0.0,0.0,1822720,
model_frac_0.840_static_quantized_int8,0.06733965873718262,0.0,0.0,1822720,
model_frac_0.840_static_quantized_int8,0.07953476905822754,0.0,0.0,2088960,
model_frac_0.840_static_quantized_int8,0.09481382369995117,0.0,0.0,2088960,
model_frac_0.840_static_quantized_int8,0.10514187812805176,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.11936402320861816,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.1311502456665039,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.14135980606079102,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.15148401260375977,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.161696195602417,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.1719803810119629,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.18211841583251953,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.19222569465637207,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.2023463249206543,0.0,0.0,2347008,
model_frac_0.840_static_quantized_int8,0.21250319480895996,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.22262120246887207,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.23275995254516602,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.24287867546081543,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.25301647186279297,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.2631492614746094,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.27337121963500977,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.28350067138671875,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.2936129570007324,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.3038458824157715,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.31429600715637207,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.3244292736053467,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.33454465866088867,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.34476232528686523,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.3554103374481201,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.3655369281768799,0.0,0.0,2605056,
model_frac_0.840_static_quantized_int8,0.37566232681274414,3.351,0.03393021082878113,2605056,
model_frac_0.840_static_quantized_int8,0.3859975337982178,3.351,0.06856348943710328,2605056,
model_frac_0.840_static_quantized_int8,0.39613795280456543,3.351,0.10254403352737426,2605056,
model_frac_0.840_static_quantized_int8,0.4062507152557373,3.351,0.1364319005012512,2605056,
model_frac_0.840_static_quantized_int8,0.41637396812438965,3.351,0.1703549208641052,2605056,
model_frac_0.840_static_quantized_int8,0.4267079830169678,3.351,0.20498420476913448,2605056,
model_frac_0.840_static_quantized_int8,0.43683624267578125,3.351,0.23892400288581844,2605056,
