,Prune Fraction,Test Accuracy,Train Accuracy,epochs_trained
0,0.71,78.12,99.19,100
1,0.72,78.4,99.068,100
2,0.73,77.75,99.13,100
3,0.74,77.68,99.06,100
4,0.75,77.44,98.934,100
5,0.76,77.36,98.86,100
6,0.77,78.14,98.722,100
7,0.78,77.58,98.602,100
8,0.79,77.28,98.348,100
9,0.8,77.28,98.312,100
10,0.81,76.28,97.784,100
11,0.8200000000000001,76.52,97.46,100
12,0.8300000000000001,76.44,96.776,100
13,0.8400000000000001,76.29,96.408,100
14,0.8500000000000001,75.44,95.024,100
15,0.8600000000000001,75.43,94.43,100
16,0.8700000000000001,75.38,92.15,100
17,0.8800000000000001,74.86,91.204,100
