,Parameters,Pruning Fraction,Retraining epochs,Memory [MB],Latency [ms],Max Power [W],Energy/image [mJ],Number of Images,# of parameters,Accuracy [%]
0,model_epochs_0_frac_0.05,0.05,0,154.59765625,80.414,5.309,349.3277823402649,10000,2894870,11.8
5,model_epochs_3_frac_0.05,0.05,3,150.24609375,64.891,5.351,305.6163273040559,10000,2894870,76.73
10,model_epochs_5_frac_0.05,0.05,5,153.6640625,79.298,5.336,348.099820339203,10000,2894870,77.34
1,model_epochs_0_frac_0.25,0.25,0,150.24609375,56.626,5.297999999999999,252.9948976782781,10000,1816043,10.24
6,model_epochs_3_frac_0.25,0.25,3,150.6953125,56.884,5.401,253.52699696404963,10000,1816043,72.07
11,model_epochs_5_frac_0.25,0.25,5,148.984375,54.321,5.37,247.54755133741034,10000,1816043,72.67
2,model_epochs_0_frac_0.5,0.5,0,142.96484375,28.489,5.256,140.04129409282228,10000,818251,10.02
7,model_epochs_3_frac_0.5,0.5,3,147.15625,28.294,5.221,140.21802547786135,10000,818251,61.57
12,model_epochs_5_frac_0.5,0.5,5,148.5234375,33.375,5.2860000000000005,156.77860142300244,10000,818251,63.99
3,model_epochs_0_frac_0.75,0.75,0,142.1953125,12.656,5.167999999999999,70.3144308837414,10000,212907,10.0
8,model_epochs_3_frac_0.75,0.75,3,141.47265625,13.297,5.115,72.94029975762363,10000,212907,40.81
13,model_epochs_5_frac_0.75,0.75,5,143.1640625,13.96,5.088,75.27843005869377,10000,212907,46.88
4,model_epochs_0_frac_0.9,0.9,0,142.265625,5.651,4.637,35.95705483634498,10000,37875,10.0
9,model_epochs_3_frac_0.9,0.9,3,139.59375,4.95,4.66,33.20867497212891,10000,37875,28.29
14,model_epochs_5_frac_0.9,0.9,5,141.9921875,4.919,4.649,33.04355148172384,10000,37875,37.27
