,Parameters,Pruning Fraction,Retraining epochs,Memory [MB],Latency [ms],Max Power [W],Energy/image [mJ],Number of Images,# of parameters,Accuracy [%]
5,model_epochs_0_frac_0_quantized,0,0,11.28125,142.091,4.1530000000000005,553.3690581878553,10000,3206456.0,77.18
0,model_epochs_0_frac_0.05_quantized,0.05,0,12.2734375,134.628,4.126,525.6863715550666,10000,2895043.0,11.89
6,model_epochs_3_frac_0.05_quantized,0.05,3,16.8359375,136.958,4.164,534.1011240460901,10000,2895043.0,76.74
11,model_epochs_5_frac_0.05_quantized,0.05,5,14.64453125,134.016,4.195,524.363016902526,10000,2895043.0,77.49
1,model_epochs_0_frac_0.25_quantized,0.25,0,14.48046875,109.387,4.195,434.0217787422656,10000,1816216.0,10.26
7,model_epochs_3_frac_0.25_quantized,0.25,3,13.3828125,109.72,4.187,434.930384347405,10000,1816216.0,72.13
12,model_epochs_5_frac_0.25_quantized,0.25,5,6.375,88.393,4.34,365.16350428898875,10000,1816216.0,72.58
2,model_epochs_0_frac_0.5_quantized,0.5,0,14.66796875,78.963,4.405,321.92618445201,10000,818424.0,10.01
8,model_epochs_3_frac_0.5_quantized,0.5,3,7.21484375,74.654,4.408,308.69434559714995,10000,818424.0,61.58
13,model_epochs_5_frac_0.5_quantized,0.5,5,16.328125,80.027,4.412,325.8949548593088,10000,818424.0,64.08
3,model_epochs_0_frac_0.75_quantized,0.75,0,11.44921875,48.56,4.912,214.12546727957624,10000,213080.0,10.0
9,model_epochs_3_frac_0.75_quantized,0.75,3,15.74609375,49.682,4.874,217.63624315169378,10000,213080.0,40.77
14,model_epochs_5_frac_0.75_quantized,0.75,5,10.23046875,46.766,4.905,208.49072272760864,10000,213080.0,47.08
4,model_epochs_0_frac_0.9_quantized,0.9,0,9.53515625,16.084,4.13,72.33457430372252,10000,38048.0,10.0
10,model_epochs_3_frac_0.9_quantized,0.9,3,8.9453125,17.674,4.1339999999999995,78.85284499864532,10000,38048.0,28.12
15,model_epochs_5_frac_0.9_quantized,0.9,5,9.16015625,17.34,4.187,77.15557677652858,10000,38048.0,37.34
