,Parameters,Pruning Fraction,Retraining epochs,Memory [MB],Latency [ms],Max Power [W],Energy/image [mJ],Number of Images,# of parameters,Accuracy [%]
5,model_epochs_0_frac_0_quantized,0,0,10.4765625,131.57913820743562,4.118,517.56074993625,10000,3206456.0,77.18
0,model_epochs_0_frac_0.05_quantized,0.05,0,10.3125,119.76796588897705,4.1339999999999995,477.29481789288286,10000,2895043.0,11.89
6,model_epochs_3_frac_0.05_quantized,0.05,3,9.60546875,122.59506289958952,4.145,487.5166565681387,10000,2895043.0,76.74
11,model_epochs_5_frac_0.05_quantized,0.05,5,13.19140625,121.02524399757385,4.199,483.44588276750454,10000,2895043.0,77.49000000000001
1,model_epochs_0_frac_0.25_quantized,0.25,0,8.015625,100.4517990589142,4.206,405.114079248072,10000,1816216.0,10.26
7,model_epochs_3_frac_0.25_quantized,0.25,3,8.46875,103.74865021705628,4.176,414.5866831561593,10000,1816216.0,72.13000000000001
12,model_epochs_5_frac_0.25_quantized,0.25,5,6.94140625,87.52119753360749,4.229,362.5566006777512,10000,1816216.0,72.58
2,model_epochs_0_frac_0.5_quantized,0.5,0,6.953125,73.66072087287903,4.416,306.65817380850285,10000,818424.0,10.01
8,model_epochs_3_frac_0.5_quantized,0.5,3,5.375,73.51691057682038,4.401,305.97013608596427,10000,818424.0,61.58
13,model_epochs_5_frac_0.5_quantized,0.5,5,8.2578125,76.55950384140013,4.378,315.7514330998673,10000,818424.0,64.08
3,model_epochs_0_frac_0.75_quantized,0.75,0,10.2734375,45.41417403221131,4.882,204.31095343902,10000,213080.0,10.0
9,model_epochs_3_frac_0.75_quantized,0.75,3,8.7890625,48.139221358299245,4.813,213.62332204251098,10000,213080.0,40.77
14,model_epochs_5_frac_0.75_quantized,0.75,5,5.3359375,44.987746930122384,4.882,203.02276343486292,10000,213080.0,47.08
4,model_epochs_0_frac_0.9_quantized,0.9,0,5.5390625,15.60217580795288,4.107,71.26717820372617,10000,38048.0,10.0
10,model_epochs_3_frac_0.9_quantized,0.9,3,7.625,15.002026534080503,4.191,69.23724301276218,10000,38048.0,28.12
15,model_epochs_5_frac_0.9_quantized,0.9,5,7.5234375,17.28323454856873,4.187,77.25616184871154,10000,38048.0,37.34
