,Parameters,Pruning Fraction,Retraining epochs,Memory [MB],Quantization Type,Latency [s],Max Power [W],Energy/image [J],num_images,Accuracy
0,model_frac_0.05_qat_quantized_uint8,0.05,100,8.73046875,qat,0.125,4.343999999999999,0.4901210799504213,10000,0.786
1,model_frac_0.05_static_quantized_int8,0.05,100,17.67578125,static,0.02,5.374,0.10308109410982132,10000,0.784
2,model_frac_0.05_static_quantized_uint8,0.05,100,12.16796875,static,0.02,5.42,0.10531127003207219,10000,0.785
3,model_frac_0.10_qat_quantized_uint8,0.10,100,19.0390625,qat,0.119,4.504,0.4706343677243813,10000,0.793
4,model_frac_0.10_static_quantized_int8,0.10,100,15.546875,static,0.017,5.377999999999999,0.09010430881006712,10000,0.793
5,model_frac_0.10_static_quantized_uint8,0.10,100,13.27734375,static,0.018,5.343999999999999,0.09595076327879463,10000,0.793
6,model_frac_0.15_qat_quantized_uint8,0.15,100,9.51171875,qat,0.112,4.1530000000000005,0.44336456372340743,10000,0.791
7,model_frac_0.15_static_quantized_int8,0.15,100,8.0078125,static,0.011,5.37,0.0691304933835504,10000,0.791
8,model_frac_0.15_static_quantized_uint8,0.15,100,22.41796875,static,0.018,5.325,0.09323580385270157,10000,0.791
11,model_frac_0.20_static_quantized_uint8,0.20,100,7.83203125,static,0.015,5.327999999999999,0.07995431197922227,10000,0.79
10,model_frac_0.20_static_quantized_int8,0.20,100,13.578125,static,0.014,5.325,0.07833550272109503,10000,0.791
9,model_frac_0.20_qat_quantized_uint8,0.20,100,11.05859375,qat,0.107,4.168,0.4262735977052793,10000,0.793
12,model_frac_0.25_qat_quantized_uint8,0.25,100,10.89453125,qat,0.102,4.221,0.4062212331113953,10000,0.792
13,model_frac_0.25_static_quantized_int8,0.25,100,13.359375,static,0.014,5.26,0.07561375063366887,10000,0.79
14,model_frac_0.25_static_quantized_uint8,0.25,100,5.734375,static,0.014,5.313,0.07899852950363179,10000,0.79
15,model_frac_0.30_qat_quantized_uint8,0.30,100,9.65234375,qat,0.096,4.221,0.38559021281618727,10000,0.793
16,model_frac_0.30_static_quantized_int8,0.30,100,11.54296875,static,0.011,5.247999999999999,0.06495269947736206,10000,0.792
17,model_frac_0.30_static_quantized_uint8,0.30,100,4.59375,static,0.013,5.218,0.07202186270134446,10000,0.792
18,model_frac_0.35_qat_quantized_uint8,0.35,100,7.23046875,qat,0.089,4.256,0.3579758522923985,10000,0.791
19,model_frac_0.35_static_quantized_int8,0.35,100,16.046875,static,0.012,5.2139999999999995,0.0663342582408191,10000,0.791
20,model_frac_0.35_static_quantized_uint8,0.35,100,12.20703125,static,0.012,5.237,0.06803436226506211,10000,0.79
23,model_frac_0.40_static_quantized_uint8,0.40,100,13.6328125,static,0.01,5.164,0.06140507749590854,10000,0.782
22,model_frac_0.40_static_quantized_int8,0.40,100,15.2890625,static,0.011,5.149,0.06178872691252214,10000,0.783
21,model_frac_0.40_qat_quantized_uint8,0.40,100,4.625,qat,0.084,4.325,0.33998406481187377,10000,0.784
24,model_frac_0.45_qat_quantized_uint8,0.45,100,19.94921875,qat,0.078,4.622,0.31925329782169154,10000,0.783
25,model_frac_0.45_static_quantized_int8,0.45,100,11.5390625,static,0.009,5.115,0.05341016697125424,10000,0.78
26,model_frac_0.45_static_quantized_uint8,0.45,100,10.20703125,static,0.01,5.118,0.0576363438427687,10000,0.779
27,model_frac_0.50_qat_quantized_uint8,0.50,100,9.9375,qat,0.074,4.388999999999999,0.3062155258527791,10000,0.776
28,model_frac_0.50_static_quantized_int8,0.50,100,6.60546875,static,0.007,5.103,0.04554012063386458,10000,0.775
29,model_frac_0.50_static_quantized_uint8,0.50,100,5.62109375,static,0.009,5.13,0.05393212693796193,10000,0.772
30,model_frac_0.55_qat_quantized_uint8,0.55,100,7.47265625,qat,0.068,4.462,0.2843013500226962,10000,0.77
31,model_frac_0.55_static_quantized_int8,0.55,100,11.9296875,static,0.008,5.065,0.04849050690493557,10000,0.769
32,model_frac_0.55_static_quantized_uint8,0.55,100,7.75390625,static,0.008,5.023,0.04944122837061884,10000,0.766
35,model_frac_0.60_static_quantized_uint8,0.60,100,13.58203125,static,0.007,5.004,0.04571643948409541,10000,0.756
33,model_frac_0.60_qat_quantized_uint8,0.60,100,10.140625,qat,0.062,4.546,0.2643667383423366,10000,0.757
34,model_frac_0.60_static_quantized_int8,0.60,100,10.24609375,static,0.007,4.989,0.04313896595599668,10000,0.754
36,model_frac_0.65_qat_quantized_uint8,0.65,100,9.36328125,qat,0.056,4.657,0.24236963450395915,10000,0.736
37,model_frac_0.65_static_quantized_int8,0.65,100,8.61328125,static,0.005,4.973,0.03695117537636764,10000,0.727
38,model_frac_0.65_static_quantized_uint8,0.65,100,9.55078125,static,0.007,4.939,0.04243707836456289,10000,0.73
39,model_frac_0.660_static_quantized_int8,0.660,100,7.66015625,static,0.005,4.962,0.03635792556903377,10000,0.768
40,model_frac_0.660_static_quantized_uint8,0.660,100,9.11328125,static,0.006,4.954,0.03828399784700877,10000,0.764
41,model_frac_0.670_static_quantized_int8,0.670,100,4.375,static,0.005,5.0,0.03376325439918054,10000,0.775
42,model_frac_0.670_static_quantized_uint8,0.670,100,8.33203125,static,0.005,4.966,0.03639751593306072,10000,0.773
43,model_frac_0.680_static_quantized_int8,0.680,100,5.03515625,static,0.005,4.985,0.0339214084700108,10000,0.771
44,model_frac_0.680_static_quantized_uint8,0.680,100,6.4375,static,0.005,4.996,0.03460034704828255,10000,0.772
46,model_frac_0.690_static_quantized_uint8,0.690,100,9.921875,static,0.005,4.886,0.03581637525799262,10000,0.776
45,model_frac_0.690_static_quantized_int8,0.690,100,8.83203125,static,0.005,4.97,0.036079746313214256,10000,0.78
49,model_frac_0.70_qat_quantized_uint8,0.70,100,20.4296875,qat,0.052,4.87,0.22590864015660506,10000,0.708
50,model_frac_0.70_static_quantized_int8,0.70,100,3.203125,static,0.006,4.95,0.038128064622378444,10000,0.542
51,model_frac_0.70_static_quantized_uint8,0.70,100,11.58203125,static,0.006,4.966,0.03994843881611837,10000,0.702
47,model_frac_0.700_static_quantized_int8,0.700,100,3.234375,static,0.004,4.912,0.03215500698361389,10000,0.779
48,model_frac_0.700_static_quantized_uint8,0.700,100,9.37890625,static,0.005,4.947,0.036450453643441266,10000,0.778
52,model_frac_0.710_static_quantized_int8,0.710,100,13.77734375,static,0.004,4.92,0.03306121268327235,10000,0.775
53,model_frac_0.710_static_quantized_uint8,0.710,100,3.45703125,static,0.004,4.916,0.03310731800477521,10000,0.776
54,model_frac_0.720_static_quantized_int8,0.720,100,5.84765625,static,0.004,4.905,0.03235760462336524,10000,0.78
55,model_frac_0.720_static_quantized_uint8,0.720,100,11.73828125,static,0.004,4.931,0.03314258509562021,10000,0.781
57,model_frac_0.730_static_quantized_uint8,0.730,100,10.078125,static,0.004,4.954,0.03215622350745207,10000,0.772
56,model_frac_0.730_static_quantized_int8,0.730,100,8.3671875,static,0.004,4.912,0.03182077281301034,10000,0.773
58,model_frac_0.740_static_quantized_int8,0.740,100,4.91015625,static,0.004,4.939,0.031595465301203746,10000,0.771
59,model_frac_0.740_static_quantized_uint8,0.740,100,10.74609375,static,0.004,4.905,0.03203672108814707,10000,0.77
62,model_frac_0.75_qat_quantized_uint8,0.75,100,10.38671875,qat,0.045,4.851,0.20124098276798694,10000,0.687
63,model_frac_0.75_static_quantized_int8,0.75,100,7.390625,static,0.004,4.87,0.03172134340448372,10000,0.688
64,model_frac_0.75_static_quantized_uint8,0.75,100,7.91796875,static,0.005,4.87,0.035663643946266255,10000,0.686
60,model_frac_0.750_static_quantized_int8,0.750,100,9.046875,static,0.004,4.908,0.03137783299639211,10000,0.776
61,model_frac_0.750_static_quantized_uint8,0.750,100,12.96484375,static,0.004,4.935,0.031729987853074036,10000,0.771
65,model_frac_0.760_static_quantized_int8,0.760,100,10.3515625,static,0.004,4.958,0.03142440087976459,10000,0.77
66,model_frac_0.760_static_quantized_uint8,0.760,100,9.92578125,static,0.004,4.962,0.03139220495712758,10000,0.769
67,model_frac_0.770_static_quantized_int8,0.770,100,9.96484375,static,0.004,4.908,0.030993779830670365,10000,0.778
68,model_frac_0.770_static_quantized_uint8,0.770,100,16.37109375,static,0.004,4.905,0.03107753134429445,10000,0.781
