,params,mem,latency,power,energy,num_images
0,model_epochs_0_frac_0.05,162107392,0.0804140299320221,5.309,0.3493277823402649,10000
1,model_epochs_0_frac_0.25,157544448,0.0566257949590683,5.297999999999999,0.2529948976782781,10000
2,model_epochs_0_frac_0.5,149909504,0.02848944120407105,5.256,0.1400412940928223,10000
3,model_epochs_0_frac_0.75,149102592,0.012656250524520874,5.167999999999999,0.0703144308837414,10000
4,model_epochs_0_frac_0.9,149176320,0.005651346015930175,4.637,0.03595705483634498,10000
5,model_epochs_3_frac_0.05,157544448,0.0648910285949707,5.351,0.3056163273040559,10000
6,model_epochs_3_frac_0.25,158015488,0.056884240341186526,5.401,0.2535269969640496,10000
7,model_epochs_3_frac_0.5,154304512,0.028293736100196837,5.221,0.14021802547786136,10000
8,model_epochs_3_frac_0.75,148344832,0.013296947956085206,5.115,0.07294029975762363,10000
9,model_epochs_3_frac_0.9,146374656,0.00495023193359375,4.66,0.03320867497212891,10000
10,model_epochs_5_frac_0.05,161128448,0.07929778344631196,5.336,0.348099820339203,10000
11,model_epochs_5_frac_0.25,156221440,0.05432071590423584,5.37,0.24754755133741033,10000
12,model_epochs_5_frac_0.5,155738112,0.03337530207633972,5.2860000000000005,0.15677860142300243,10000
13,model_epochs_5_frac_0.75,150118400,0.013960485816001893,5.088,0.07527843005869377,10000
14,model_epochs_5_frac_0.9,148889600,0.004919043779373169,4.649,0.03304355148172384,10000
