,params,frac,epochs,mem,latency,power,energy,num_images,num_params,acc
0,model_epochs_0_frac_0.05,0.05,0,162107392,0.08041403,5.309,0.349327782,10000,2894870,0.118
1,model_epochs_0_frac_0.25,0.25,0,157544448,0.056625795,5.298,0.252994898,10000,1816043,0.1024
2,model_epochs_0_frac_0.5,0.5,0,149909504,0.028489441,5.256,0.140041294,10000,818251,0.1002
3,model_epochs_0_frac_0.75,0.75,0,149102592,0.012656251,5.168,0.070314431,10000,212907,0.1
4,model_epochs_0_frac_0.9,0.9,0,149176320,0.005651346,4.637,0.035957055,10000,37875,0.1
5,model_epochs_3_frac_0.05,0.05,3,157544448,0.064891029,5.351,0.305616327,10000,2894870,0.7673
6,model_epochs_3_frac_0.25,0.25,3,158015488,0.05688424,5.401,0.253526997,10000,1816043,0.7207
7,model_epochs_3_frac_0.5,0.5,3,154304512,0.028293736,5.221,0.140218025,10000,818251,0.6157
8,model_epochs_3_frac_0.75,0.75,3,148344832,0.013296948,5.115,0.0729403,10000,212907,0.4081
9,model_epochs_3_frac_0.9,0.9,3,146374656,0.004950232,4.66,0.033208675,10000,37875,0.2829
10,model_epochs_5_frac_0.05,0.05,5,161128448,0.079297783,5.336,0.34809982,10000,2894870,0.7734
11,model_epochs_5_frac_0.25,0.25,5,156221440,0.054320716,5.37,0.247547551,10000,1816043,0.7267
12,model_epochs_5_frac_0.5,0.5,5,155738112,0.033375302,5.286,0.156778601,10000,818251,0.6399
13,model_epochs_5_frac_0.75,0.75,5,150118400,0.013960486,5.088,0.07527843,10000,212907,0.4688
14,model_epochs_5_frac_0.9,0.9,5,148889600,0.004919044,4.649,0.033043551,10000,37875,0.3727
