,Parameters,Pruning Fraction,Retraining epochs,Memory [MB],Quantization Type,Latency [s],Max Power [W],Energy/image [J],num_images,Accuracy,FoM
43,model_frac_0.75_static_quantized_int8,0.75,100,7.390625,static,0.004186351,4.87,0.031721343,10000,0.6876,5177.839803
44,model_frac_0.75_static_quantized_uint8,0.75,100,7.91796875,static,0.005106268,4.87,0.035663644,10000,0.6865,3769.738363
37,model_frac_0.65_static_quantized_int8,0.65,100,8.61328125,static,0.005221606,4.973,0.036951175,10000,0.7271,3768.441943
46,model_frac_0.80_static_quantized_uint8,0.8,100,10.6640625,static,0.005595901,4.825,0.037422164,10000,0.6406,3059.060097
41,model_frac_0.70_static_quantized_uint8,0.7,100,11.58203125,static,0.006065419,4.966,0.039948439,10000,0.7025,2899.250505
34,model_frac_0.60_static_quantized_int8,0.6,100,10.24609375,static,0.006621536,4.989,0.043138966,10000,0.7535,2637.878461
38,model_frac_0.65_static_quantized_uint8,0.65,100,9.55078125,static,0.006570202,4.939,0.042437078,10000,0.7304,2619.609681
28,model_frac_0.50_static_quantized_int8,0.5,100,6.60546875,static,0.0068335,5.103,0.045540121,10000,0.7747,2489.408561
40,model_frac_0.70_static_quantized_int8,0.7,100,3.203125,static,0.005714016,4.95,0.038128065,10000,0.5423,2489.163516
35,model_frac_0.60_static_quantized_uint8,0.6,100,13.58203125,static,0.007187345,5.004,0.045716439,10000,0.7557,2299.897794
31,model_frac_0.55_static_quantized_int8,0.55,100,11.9296875,static,0.007737809,5.065,0.048490507,10000,0.769,2049.517449
32,model_frac_0.55_static_quantized_uint8,0.55,100,7.75390625,static,0.007999408,5.023,0.049441228,10000,0.7661,1937.039055
25,model_frac_0.45_static_quantized_int8,0.45,100,11.5390625,static,0.008679496,5.115,0.053410167,10000,0.7798,1682.150337
29,model_frac_0.50_static_quantized_uint8,0.5,100,5.62109375,static,0.008899285,5.13,0.053932127,10000,0.7717,1607.851165
26,model_frac_0.45_static_quantized_uint8,0.45,100,10.20703125,static,0.009719192,5.118,0.057636344,10000,0.7789,1390.449167
23,model_frac_0.40_static_quantized_uint8,0.4,100,13.6328125,static,0.01049295,5.164,0.061405077,10000,0.7816,1213.06111
22,model_frac_0.40_static_quantized_int8,0.4,100,15.2890625,static,0.010624484,5.149,0.061788727,10000,0.7826,1192.127644
16,model_frac_0.30_static_quantized_int8,0.3,100,11.54296875,static,0.010939393,5.248,0.064952699,10000,0.7917,1114.218144
7,model_frac_0.15_static_quantized_int8,0.15,100,8.0078125,static,0.010978615,5.37,0.069130493,10000,0.7912,1042.483227
19,model_frac_0.35_static_quantized_int8,0.35,100,16.046875,static,0.011584462,5.214,0.066334258,10000,0.7911,1029.479325
20,model_frac_0.35_static_quantized_uint8,0.35,100,12.20703125,static,0.01198989,5.237,0.068034362,10000,0.7903,968.8320028
17,model_frac_0.30_static_quantized_uint8,0.3,100,4.59375,static,0.012865515,5.218,0.072021863,10000,0.7923,855.0630496
13,model_frac_0.25_static_quantized_int8,0.25,100,13.359375,static,0.013638428,5.26,0.075613751,10000,0.7903,766.3495135
10,model_frac_0.20_static_quantized_int8,0.2,100,13.578125,static,0.014107376,5.325,0.078335503,10000,0.7908,715.585918
14,model_frac_0.25_static_quantized_uint8,0.25,100,5.734375,static,0.01447437,5.313,0.07899853,10000,0.7905,691.3264705
11,model_frac_0.20_static_quantized_uint8,0.2,100,7.83203125,static,0.014583906,5.328,0.079954312,10000,0.7905,677.9319781
4,model_frac_0.10_static_quantized_int8,0.1,100,15.546875,static,0.016530237,5.378,0.090104309,10000,0.7927,532.211444
8,model_frac_0.15_static_quantized_uint8,0.15,100,22.41796875,static,0.017683336,5.325,0.093235804,10000,0.7914,480.0087193
5,model_frac_0.10_static_quantized_uint8,0.1,100,13.27734375,static,0.018146559,5.344,0.095950763,10000,0.7927,455.266978
1,model_frac_0.05_static_quantized_int8,0.05,100,17.67578125,static,0.019693054,5.374,0.103081094,10000,0.7836,386.0133552
2,model_frac_0.05_static_quantized_uint8,0.05,100,12.16796875,static,0.020356663,5.42,0.10531127,10000,0.7849,366.1279563
45,model_frac_0.80_qat_quantized_uint8,0.8,100,8.2265625,qat,0.036154493,4.95,0.166992375,10000,0.6423,106.3846592
42,model_frac_0.75_qat_quantized_uint8,0.75,100,10.38671875,qat,0.044849195,4.851,0.201240983,10000,0.6867,76.084461
